Thelymitra purpureofusca	Orchidaceae		Sun Orchid			
Thelymitra queenslandica	Orchidaceae		Northern sun orchid			
Thelymitra reflexa	Orchidaceae		Reflexed sun orchid			
Thelymitra rubra	Orchidaceae		Salmon sun orchid			pink sun orchid
Thelymitra sanscilia	Orchidaceae		Sun Orchid			
Thelymitra sargentii	Orchidaceae		Freckled sun orchid			
Thelymitra silena	Orchidaceae		Madonna sun orchid			
Thelymitra simulata	Orchidaceae		Collared sun orchid			
Thelymitra spadicea	Orchidaceae		Browntop sun orchid			
Thelymitra sparsa	Orchidaceae		Wispy sun orchid			
Thelymitra speciosa	Orchidaceae		Eastern Queen of Sheba			
Thelymitra spiralis	Orchidaceae		Curly locks			
Thelymitra stellata	Orchidaceae		Star orchid			
Thelymitra tholiformis	Orchidaceae		Sun Orchid			
Thelymitra tigrina	Orchidaceae		Tiger orchid			
Thelymitra uliginosa	Orchidaceae		Southern curly locks			
Thelymitra variegata	Orchidaceae		Queen of Sheba			
Thelymitra venosa	Orchidaceae		Large veined sun orchid			
Thelymitra villosa	Orchidaceae		Custard orchid			
Thelymitra viridis	Orchidaceae		Green sun orchid			
Thelymitra vulgaris	Orchidaceae		Slender sun orchid			
Thelymitra xanthotricha	Orchidaceae		Yellow tufted sun orchid			
Thelymitra yorkensis	Orchidaceae		York sun orchid			
Thelymitra × irregularis	Orchidaceae	TThelymitra × irregularis	Crested sun orchid			
Thelymitra ×chasmogama	Orchidaceae		Globe-hood sun orchid			
Thelymitra ×dentata	Orchidaceae		Hybrid sun orchid			
Thelymitra ×mackibbinii	Orchidaceae		Brilliant sun orchid			
Thelymitra ×macmillanii	Orchidaceae		Red sun orchid			
Thelymitra ×truncata	Orchidaceae		truncate sun orchid			
Thelypodiopsis ambigua	Brassicaceae		Long Valley tumblemustard			
Thelypodiopsis aurea	Brassicaceae		Durango tumblemustard			
Thelypodiopsis divaricata	Brassicaceae		spreading thelypodiopsis			
Thelypodiopsis elegans	Brassicaceae		Westwater tumblemustard			
Thelypodiopsis juniperorum	Brassicaceae		juniper tumblemustard			
Thelypodiopsis purpusii	Brassicaceae		Purpus' tumblemustard			
Thelypodiopsis shinnersii	Brassicaceae		Rio Grande tumblemustard			
Thelypodiopsis vaseyi	Brassicaceae		Las Vegas tumblemustard			
Thelypodiopsis vermicularis	Brassicaceae		Great Basin tumblemustard			
Thelypodium brachycarpum	Brassicaceae		shortpod thelypody			
Thelypodium crispum	Brassicaceae		crisped thelypody			
Thelypodium eucosmum	Brassicaceae		world thelypody			arrow-leaf thelypody
Thelypodium flexuosum	Brassicaceae		nodding thelypody			
Thelypodium howellii	Brassicaceae		Howell's thelypody			
Thelypodium integrifolium	Brassicaceae		entireleaved thelypody			
Thelypodium laciniatum	Brassicaceae		cutleaf thelypody			feathery thelypodium~many-flowered thelypody~thick-leaved thelypody
Thelypodium laxiflorum	Brassicaceae		droopflower thelypody			
Thelypodium milleflorum	Brassicaceae		manyflower thelypody			
Thelypodium paniculatum	Brassicaceae		northwestern thelypody			
Thelypodium repandum	Brassicaceae		wavyleaf thelypody			
Thelypodium rollinsii	Brassicaceae		Rollins' thelypody			
Thelypodium sagittatum	Brassicaceae		arrow thelypody			
Thelypodium stenopetalum	Brassicaceae		slenderpetal thelypody			
Thelypodium tenue	Brassicaceae		Big Bend thelypody			
Thelypodium texanum	Brassicaceae		Texas thelypody			
Thelypodium wrightii	Brassicaceae		Oklahoma thelypody			wright stanleyella~Wright thelypody~Wright's thelypody
Thelypteris abdita	Thelypteridaceae		Rio Abajo maiden fern			
Thelypteris abrupta	Thelypteridaceae		fairybit maiden fern			
Thelypteris angustifolia	Thelypteridaceae		broadleaf maiden fern			
Thelypteris augescens	Thelypteridaceae		abrupttip maiden fern			
Thelypteris balbisii	Thelypteridaceae		Balbis' maiden fern			
Thelypteris boydiae	Thelypteridaceae		Boyd's maiden fern			
Thelypteris brittonae	Thelypteridaceae		Britton's maiden fern			
Thelypteris cheilanthoides	Thelypteridaceae		lip maiden fern			
Thelypteris cordata	Thelypteridaceae		heartleaf maiden fern			
Thelypteris cyatheoides	Thelypteridaceae		lacy maiden fern			
Thelypteris decussata	Thelypteridaceae		glandular maiden fern			
Thelypteris deltoidea	Thelypteridaceae		deltoid maiden fern			
Thelypteris dentata	Thelypteridaceae		downy maiden fern			
Thelypteris exindusiata	Thelypteridaceae		Makaleha maiden fern			
Thelypteris forsteri	Thelypteridaceae		Forster's maiden fern			
Thelypteris germaniana	Thelypteridaceae		German's maiden fern			
Thelypteris globulifera	Thelypteridaceae		globular maiden fern			
Thelypteris grandis	Thelypteridaceae		stately maiden fern			
Thelypteris guadalupensis	Thelypteridaceae		Guadeloupe maiden fern			
Thelypteris hastata	Thelypteridaceae		arrowhead maiden fern			
Thelypteris hildae	Thelypteridaceae		limestone maiden fern			
Thelypteris hispidula	Thelypteridaceae		roughhairy maiden fern			
Thelypteris inabonensis	Thelypteridaceae		cordillera maiden fern			
Thelypteris interrupta	Thelypteridaceae		Willdenow's maiden fern			
Thelypteris kunthii	Thelypteridaceae		Kunth's maiden fern			
Thelypteris leptocladia	Thelypteridaceae		thicket maiden fern			
Thelypteris limbosperma	Thelypteridaceae			Berg-Lappenfarn		
Thelypteris linkiana	Thelypteridaceae		Link's maiden fern			
Thelypteris nephrodioides	Thelypteridaceae		graygreen maiden fern			
Thelypteris nevadensis	Thelypteridaceae		Sierra marsh fern			
Thelypteris noveboracensis	Thelypteridaceae		New York fern			
Thelypteris opposita	Thelypteridaceae		oppositeleaf maiden fern			
Thelypteris opulenta	Thelypteridaceae		jeweled maiden fern			
Thelypteris ovata	Thelypteridaceae		ovate marsh fern			
Thelypteris palustris	Thelypteridaceae	fougère des marais	eastern marsh fern	Sumpffarn		Thélyptéris des Marais~Sumpf-Lappenfarn~Marsh Fern
Thelypteris parasitica	Thelypteridaceae		parasitic maiden fern			
Thelypteris patens	Thelypteridaceae		gridscale maiden fern			
Thelypteris pennata	Thelypteridaceae		graceful maiden fern			
Thelypteris piedrensis	Thelypteridaceae		Cuban maiden fern			
Thelypteris pilosa	Thelypteridaceae		softhairy maiden fern			
Thelypteris poiteana	Thelypteridaceae		darkgreen maiden fern			
Thelypteris puberula	Thelypteridaceae		showy maiden fern			
Thelypteris quelpaertensis	Thelypteridaceae	Thélyptère de Quelpart	queen's-veil maiden fern			
Thelypteris reptans	Thelypteridaceae		creeping maiden fern			
Thelypteris resinifera	Thelypteridaceae		resinous maiden fern			
Thelypteris reticulata	Thelypteridaceae		latticevein fern			
Thelypteris retroflexa	Thelypteridaceae		spleenwort maiden fern			
Thelypteris rheophyta	Thelypteridaceae		Rio Inabon maiden fern			
Thelypteris rudis	Thelypteridaceae		red maiden fern			
Thelypteris sancta	Thelypteridaceae		Caribbean maiden fern			
Thelypteris sclerophylla	Thelypteridaceae		stiff maiden fern			
Thelypteris serra	Thelypteridaceae		Jamaican maiden fern			
Thelypteris serrata	Thelypteridaceae		toothed latticevein fern			
Thelypteris simulata	Thelypteridaceae		bog fern			
Thelypteris tetragona	Thelypteridaceae		Free-tip Star-hair Fern			freetip maiden fern
Thelypteris verecunda	Thelypteridaceae		Barrio Charcas maiden fern			
Thelypteris wailele	Thelypteridaceae		Waioli Valley maiden fern			
Thelypteris yaucoensis	Thelypteridaceae		Puerto Rico maiden fern			
Thelypteris × wildemanii	Thelypteridaceae	Thelypteris ×wildemanii	Thelypteris ×wildemanii	Thelypteris ×wildemanii	Thelypteris ×wildemanii	
Themeda arguens	Poaceae		Christmas grass			
Themeda gigantea	Poaceae		silky kangaroo grass			
Themeda quadrivalvis	Poaceae		kangaroo grass			
Themeda triandra	Poaceae		Kangaroo Grass			red grass~red oat~red oat grass~rooigras
Themeda villosa	Poaceae		silky kangaroo grass			
Theobroma cacao	Malvaceae	cacaoyer	cacao	Kakaobaum		Trinitario~Cacaotier~Kakao~chocolate tree~cacao tree~cacao species
Theobroma grandiflorum	Malvaceae	Cupuaçu	copoasu	Cupuaçu	Cupuaçu	Copoazu~Großblütiger Kakao~cupu assu~cupuassu~cupuazú~cupuaçu-tree
Thermopsis barbata	Fabaceae		Black Pea			
Thermopsis divaricarpa	Fabaceae		spreadfruit goldenbanner			
Thermopsis fraxinifolia	Fabaceae		ashleaf goldenbanner			
Thermopsis gracilis	Fabaceae		slender goldenbanner			
Thermopsis lupinoides	Fabaceae		Siberian lupin			
Thermopsis macrophylla	Fabaceae		Santa Inez goldenbanner			
Thermopsis mollis	Fabaceae		Allegheny Mountain goldenbanner			
Thermopsis montana	Fabaceae		Montane Golden-banner			mountain goldenbanner
Thermopsis rhombifolia	Fabaceae		prairie thermopsis			
Thermopsis robusta	Fabaceae		showy goldenbanner			
Thermopsis villosa	Fabaceae		Aaron's rod			Blue Ridge golden banner~Carolina bush pea~Carolina false lupine~Carolina lupine~Southern lupine
Thesium alpinum	Thesiaceae			Alpen-Leinblatt		Alpen-Vermeinkraut
Thesium arvense	Thesiaceae			Ästiges Leinblatt		
Thesium bavarum	Thesiaceae			Berg-Leinblatt		Bayerisches Vermeinkraut~Bayrisches Leinblatt~Bayrisches Vermeinkraut
Thesium divaricatum	Thesiaceae	Thesium divariqué				Thesium étalé
Thesium ebracteatum	Thesiaceae			Vorblattloses Leinblatt		Vorblattloses Vermeinkraut
Thesium humifusum	Thesiaceae	Thésium couché	bastard toadflax	Niederliegender Bergflachs		thésion couché~Bastard-toadflax
Thesium humile	Thesiaceae			Bergflachs		
Thesium linophyllon	Thesiaceae		flaxleaf	Mittleres Leinblatt		Mittleres Vermeinkraut
Thesium maritimum	Thesiaceae		Coastal Bastard Toad-flax			
Thesium pyrenaicum	Thesiaceae	Thésium des Pyrénées		Wiesen-Leinblatt		Pyrenäen-Vermeinkraut
Thesium rostratum	Thesiaceae			Geschnäbeltes Vermeinkraut		
Thesium stuhlmannii	Thesiaceae	Thesium stuhlmannii Engl.	Thesium stuhlmannii Engl.	Thesium stuhlmannii Engl.	Thesium stuhlmannii Engl.	
Thesium transvaalense	Thesiaceae	Thesium transvaalense Schltr.	Thesium transvaalense Schltr.	Thesium transvaalense Schltr.	Thesium transvaalense Schltr.	
Thespesia garckeana	Malvaceae		azanza			
Thespesia grandiflora	Malvaceae		maga			
Thespesia populnea	Malvaceae		Pacific rosewood	Portiabaum		Küsten-Hibiskus~Küsten-Tropeneibisch~Pappelblättriger Eibisch~Indian tulip tree~Portia tree~Portiatree
Thevetia peruviana	Apocynaceae	Thévétia du Pérou	luckynut	Schellenbaum		Ahouaï
Thevetia thevetioides	Apocynaceae	Ayoyote		Ayoyote		Yoyote
Thinopyrum intermedium	Poaceae	Agropyre intermédiaire	intermediate wheatgrass			
Thinopyrum ponticum	Poaceae		tall wheatgrass			
Thinopyrum pycnanthum	Poaceae		Tick Quackgrass			
Thismia americana	Burmanniaceae		banded Trinity			
Thismia andicola	Burmanniaceae		Blue lantern			
Thismia hawkesii	Burmanniaceae		Fairy lantern			
Thismia rodwayi	Burmanniaceae		Fairy lantern			
Thladiantha dubia	Cucurbitaceae		Manchu tubergourd			
Thlaspi alliaceum	Brassicaceae	Tabouret à odeur d'ail	roadside pennycress	Lauch-Hellerkraut		Tabouret alliacé~Lauch-Täschelkraut
Thlaspi alpestre	Brassicaceae		alpine pennycress			small flowered pennycress
Thlaspi arvense	Brassicaceae	Tabouret des champs	pennycress	Acker-Hellerkraut	Erba storna comune	Acker-Pfennigkraut~Acker-Täschelkraut~Ackerhellerkraut~Ackertäschel~Ackertäschelkraut~stinkweed
Thlaspi caerulescens	Brassicaceae	tabouret sylvestre	alpine pennycress	Gebirgs-Hellerkraut		Wildes Täschelkraut~alpine pennygrass
Thlaspi elegans	Brassicaceae			Thlaspi elegans Boiss.		
Thlaspi goesingense	Brassicaceae		tiny wild mustard			
Thlaspi jankae	Brassicaceae		Slovak Penny-cress			
Thlaspi perfoliatum	Brassicaceae	Tabouret perfolié	perfoliate pennycress	Stängelumfassendes Hellerkraut		Durchwachsenblättriges Täschelkraut~Öhrchen-Hellerkraut~Stengelumfassendes Hellerkraut~Stengelumfassendes Täschelkraut~Cotswold pennycress
Thlaspi rotundifolium	Brassicaceae		round-leaved pennycress		Erba storna dalle foglie rotonde	
